metric,point_estimate,ci_lo,ci_hi,n_regains
xg_per_regain,0.008270734827195468,0.00439701847701738,0.01350567171081081,353
time_to_shot_median,5.5,4.0,9.0,353
rushed_shot_rate,0.35294117647058826,0.13636363636363635,0.48490675990675985,353
regain_to_final_third_rate,0.6685552407932012,0.5677966101694916,0.7721959926301243,353
regain_to_loss_rate,0.0113314447592068,0.0027098439903317953,0.024464831804281346,353
patience_composite,-10.87809129383808,-11.317428986742254,-10.284370720352932,353
